author,Submission_date,slug,country_name,country_code,type_of_target_class,type_of_target_details,temp_target_class,temp_target_details,costs_of_ccm_class,costs_of_ccm_details,renewable_energy_class,renewable_energy_details,energy_efficiency_class,energy_efficiency_details,transport_class,transport_details,carbon_capture_and_storage_class,carbon_capture_and_storage_details,agriculture_class,agriculture_details,land_use_and_forestry_class,land_use_and_forestry_details,waste_class,waste_details,reducing_non_co2_gases_class,reducing_non_co2_gases_details,fossil_fuel_production_class,fossil_fuel_production_details,fossil_fuel_subsidiaries_class,fossil_fuel_subsidiaries_details,land_use_change_class,land_use_change_details,redd_class,redd_details,trade_class,trade_details,market_mechanisms_class,market_mechanisms_details,mitigation_documents_class,mitigation_documents_details,co_benefits_ccm_class,co_benefits_ccm_details
,,,Cuba,CUB,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,3,4 billion US$,3,Focus area: install RE capacity of 2144 MW,3,"Focus area (efficient lighting, efficient cooking stoves)",1,Not indicated,1,Not indicated,2,Considered,1,Not indicated,1,Not indicated,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (lowering trade barriers),1,Not mentioned,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Democratic Republic of Congo,COD,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,5,13 billion US$,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered: sustainable agriculture management,2,"Considered: afforestation, reforestation",1,Not indicated,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,3,"No baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation; institutional infrastructure; technical capacity,1,International trade/trade measures not mentioned,1,Not mentioned,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Djibouti,DJI,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,4,"5,5 billion US$",3,"Focus area (Solar power, wind power, geothermal energy)",3,Focus area (public buildings),2,Considered,1,Not indicated,2,Considered,1,Not indicated,3,Focus area,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (lowering trade barriers; regulating import of vehicles),1,Not mentioned,3,National Strategy for a Green Economy,1,No co-benefits of mitigation mentioned
,,,Dominica,DMA,2,"Absolute target: 17.9% GHG emissions reduction compared to 2014 by 2020, 39.2% by 2025, 44.7% by 2030 (all conditional)",1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,2,"0,099 billion US$",3,"Focus area (Solar power, geothermal energy)",3,Focus area (Efficient street lighting),3,Focus area,1,Not indicated,2,Considered: low-carbon agriculture development,1,Not indicated,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,3,"No baseline quantified, mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,5,Market mechanisms to meet part of NDC target,3,Low Carbon Climate Resilient Development Strategy,1,No co-benefits of mitigation mentioned
,,,Dominican Republic,DOM,2,Absolute target: 25% GHG emissions reduction compared to 2010 by 2030 (conditional),3,Mentioning global effort to limit global temperature increase to 1.5°C,5,17 billion US$,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,2030 National Development Strategy; National Policy on Climate Change; Climate Compatible Development Plan; National Strategy to Strengthen Human Resources and Skills to Advance Green Low Emission and Climate Resilient Development,1,No co-benefits of mitigation mentioned
,,,Democratic People's Republic of Korea,PRK,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,"Focus area (Solar power, wind power, biomass)",3,"Focus area (Buildings, efficient cooking stoves, industry)",2,Considered,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",4,Action related to fossil fuel production (Continued production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,"Framework Act on Low Carbon, Green Growth (2010); National Greenhouse Gas Emissions Reduction Roadmap (2014); National Energy Strategy",2,Adaptation co-benefit: no examples given
,,,Ecuador,ECU,1,Business as usual,3,Mentioning global effort to limit global temperature increase to 1.5°C,1,no (partial) costs mentioned,3,"Focus area (hydropwer, wind, solar and biogas from landfills)",3,Focus area (e.g. reduction of gas flaring),2,Considered (operation of the Quito Metro (22 km) and Cuenca tramway (12km)),1,Not indicated,3,Focus area (sustainable livestock practices),3,Focus area,3,Focus area (promote the active capture of methane in landfills),2,"Considered (CH4, N2O)",4,Action related to fossil fuel production (Cleaner production),2,Considered (e.g. programme to stimulate replacement of Liquefied Gas Cookers by induction cookers),5,"quantified, mitigation target",3,REDD+ specified: strategies for implementation,2,International trade/trade measures mentioned,1,Not mentioned,3,The Constitution of the Republic of Ecuador; National Environmental Policy; National Climate Change Strategy; Organic Code of Planning and Public Finance; National Climate Change Strategy 2012-2025;,1,No co-benefits of mitigation mentioned
,,,Egypt,EGY,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area,3,Focus area,2,"Considered (River transportation, railways)",2,Considered,2,Considered,1,Not indicated,2,Considered,1,Not indicated,4,Action related to fossil fuel production (Cleaner production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,El Salvador,SLV,5,Policies and Actions (Adaptation with mitigation co-benefits),3,Mentioning global effort to limit global temperature increase to 1.5°C,1,no (partial) costs mentioned,3,Focus area: increase RE share by 12% by 2025,3,Focus area,2,Considered,1,Not indicated,3,Focus area,3,"Focus area: afforestation, forest conservation",1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",2,REDD+ mentioned,2,International trade/trade measures mentioned,1,Not mentioned,4,"NAMAs (within the National Climate Change Plan); National REDD+ programme; Development plan 2015-2019 (PQD); National Climate Change Plan
",4,Both adaptation and other co-benefits: socio-economic benefits
,,,Equatorial Guinea,GNQ,2,"Absolute target: 20% GHG emissions reduction compared to 2010 in 2030, 50% by 2050 (all conditional)",1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,3,"3,6733 billion US$",3,"Focus area (Hydropower, wind power)",2,Considered,3,Focus area,1,Not indicated,2,Considered: sustainable agriculture management,3,Focus area: sustainable management of forests and conservation,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation,2,International trade/trade measures mentioned,4,Market mechanisms to meet the conditional contribution only,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Eritrea,ERI,1,Business as usual: 12.6% unconditional reduction by 2030; 38.5% reduction in the conditional scenario,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,3,"4,681 billion US$",3,"Focus area (Solar power, wind power, geothermal energy, to generate 70% of electricity)",3,Focus area (reduce transmission and distribution losses at least by 50%),2,"Considered (railways, buses)",1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"Not quantified, no mitigation target",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Market mechanisms not mentioned,3,Reference to domestic plans and strategies,3,Other co-benefits: environmental and socio-economic benefits of solar PV
,,,Ethiopia,ETH,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,6,150 billion US$,2,Considered,2,Considered,2,Considered,1,Not indicated,2,Considered,2,"Considered: reforestation, forest conservation",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,5,"Baseline quantified, mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,5,Market mechanisms to meet part of NDC target,3,Climate Resilient Green Economy Strategy (CRGE),1,No co-benefits of mitigation mentioned
,,,European Union,EU,2,Absolute target: minimum 40% domestic GHG emissions reduction compared to 1990 by 2030,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",4,Action related to fossil fuel production (Cleaner production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,2,Market mechanisms explicitly excluded,3,"EU Decision 529/2013 for Land Use, land Use Change and Forestry; 2020 Climate & Energy Package",1,No co-benefits of mitigation mentioned
,,,Fiji,FJI,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area: increase RE share to 100% by 2030,3,Focus area,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",2,REDD+ mentioned,2,International trade/trade measures mentioned,4,Market mechanisms to meet the conditional contribution only,3,"Green Growth Framework; REDD+ Program; Sustainable Energy for All Initiative (UN); Draft Energy Policy 2013; Draft Energy Strategic Action Plan 2013; Sustainable Energy for All (SE4All) global report, Fiji Electricity Authority draft Power Development Plan Electricity Act (Cap.180); Clean Development Mechanism Policy Guideline 2010; National Climate Change Policy of 2012",1,No co-benefits of mitigation mentioned
,,,Gabon,GAB,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered: increase hydropower share to 80% by 2025 (Hydropower),2,Considered,2,Considered,1,Not indicated,2,Considered: sustainable agriculture management,2,"Considered: afforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O)",4,Action related to fossil fuel production (Cleaner production; Continued production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (regulating import of vehicles),3,Use/intention to use market mechanisms,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Gambia,GMB,5,Policies and Actions,3,Mentioning global effort to limit global temperature increase to 1.5°C (and 2°C),1,no (partial) costs mentioned,2,"Considered (Solar power, wind power, hydropower)",2,Considered (appliances),2,Considered,1,Not indicated,2,Considered,1,Not indicated,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3, NOX)",1,Not applicable (no fossil fuel production),1,Not indicated,3,"No baseline quantified, mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (standards and labelling),3,Use/intention to use market mechanisms,4,"NAMA (waste, agriculture, energy); Low Emissions Climate Resilient Development Strategy; National Climate Change Action Plan",1,No co-benefits of mitigation mentioned
,,,Georgia,GEO,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,Considered,2,Considered,2,Considered,1,Not indicated,2,Considered,1,Not indicated,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",2,Producer; no mention of fossil fuel production,1,Not indicated,3,"No baseline quantified, mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,4,Low Emission Development Strategy; National Energy Efficiency Action Plan; Nationally Appropriate Mitigation Actions (NAMA),1,No co-benefits of mitigation mentioned
,,,Ghana,GHA,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,4,"9,81 billion US$",3,Focus area: increase RE penetration by 10% by 2030 (Hydropower),3,Focus area,3,"Focus area (Railways, buses)",1,Not indicated,2,Considered,3,"Focus area: afforestation, reforestation",3,Focus area,2,"Considered (CH4, N2O, HFCs)",2,Producer; no mention of fossil fuel production,1,Not indicated,3,"No baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation; source of finance indicated,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,4,NAMAs; National Climate Change Policy; Low Carbon Development Strategy; National renewable energy act,3,Other co-benefits: e.g. improved electricity security and access to rural communities; cost savings (GH¢74 million/yr subsidy on kerosene)
,,,Grenada,GRD,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,2,"0,16143 billion US$",3,"Focus area: reduce emissions from energy production by 30% by 2025 (Solar -, wind- and geothermal energy)",3,Focus area (Buildings),3,Focus area,1,Not indicated,1,Not indicated,2,Considered: sustainable management of forests and conservation,3,Focus area,2,Considered (CH4),1,Not applicable (no fossil fuel production),2,Considered: promotion of biofuels,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,National Energy Policy; National Climate Change Policy and Action Plan; Protected Area Systems Plan,1,No co-benefits of mitigation mentioned
,,,Guatemala,GTM,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered: increase RE share to 80% by 2030,2,Considered,2,Considered,1,Not indicated,2,Considered,2,"Considered: reforestation, preservation of forests",2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation; institutional infrastructure,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,Framework law on climate change; Renewable energy incentives law; Biodiversty and climate change adaptation and mitigation strategy; Clean production policy,1,No co-benefits of mitigation mentioned
,,,Guinea,GIN,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,4,"8,179 billion US$",2,Considered: produce 30% of the energy from RE sources,2,Considered,1,Not indicated,1,Not indicated,2,Considered: sustainable agriculture management,2,"Considered: afforestation, sustainable management of forests",1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation; technical capacity; land tenure or forest governance addressed,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Guinea Bissau,GNB,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,2,"0,7 billion US$",3,Focus area: increase RE share to 80% by 2030,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,3,"Focus area: reforestation, forest conservation",1,Not indicated,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: technical capacity; land tenure or forest governance,3,International trade/trade measures to foster mitigation (regulating timber trade),1,Not mentioned,3,National plan for renewable energy; Regional Policies on Renewable Energy and Energy Efficiency,1,No co-benefits of mitigation mentioned
,,,Guyana,GUY,5,Policies and Actions,3,Mentioning global effort to limit global temperature increase to 1.5°C,1,no (partial) costs mentioned,3,"Focus area: increase RE share to 100% (Solar power, wind power, biomass, hydropower)",2,Considered (Efficient lighting),1,Not indicated,1,Not indicated,1,Not indicated,2,Considered: sustainable management of forests and conservation,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,3,"No baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation; institutional infrastructure; technical capacity; source of finance; land tenure or forest governance; FPIC mentioned,3,International trade/trade measures to foster mitigation (lowering trade barriers; regulating timber trade; standards and labelling),2,Market mechanisms explicitly excluded,3,Low Carbon Development Strategy,1,No co-benefits of mitigation mentioned
,,,Haiti,HTI,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,4,"8,773 billion US$",2,"Considered: increase RE share to 40% (Solar power, wind power, biomass, hydropower)",2,Considered,2,Considered,1,Not indicated,2,Considered: livestock sector,2,"Considered: afforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,"REDD+ specified: source of finance indicated,",3,International trade/trade measures to foster mitigation (regulating imports of veicles),3,Use/intention to use market mechanisms,3,Roadmap for a Sustainable Energy System,1,No co-benefits of mitigation mentioned
,,,Honduras,HND,1,Business as usual,3,Mentioning global effort to limit global temperature increase to 1.5°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,"Considered: afforestation, reforestation",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation,1,International trade/trade measures not mentioned,1,Not mentioned,4,Climate Change Law; National Climate Change Strategy; NAMA (efficient bulbs),1,No co-benefits of mitigation mentioned
,,,Iceland,ISL,2,Absolute target: 40% GHG emissions reduction compared to 1990 by 2030,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,"Considered: afforestation, revegetation",2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,European Union Nationally Determined Contribution,1,No co-benefits of mitigation mentioned
,,,India,IND,3,Intensity target,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,6,834 billion US$,3,"Focus area: increase RE share to 105 GW in the short term (Solar power, wind power, biomass, hydropower)",3,Focus area,2,Considered (Railways),1,Not indicated,1,Not indicated,2,"Considered: afforestation, sustainable management of forests",3,Focus area,2,"Considered (CH4, N2O)",4,Action related to fossil fuel production (Coal tax),1,Not indicated,3,"No baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,National Action Plan on Climate Change (NAPCC); Energy Conservation Act; National Electricity Policy (NEP); Integrated Energy Policy (IEP),1,No co-benefits of mitigation mentioned
,,,Indonesia,IDN,1,Business as usual,3,Mentioning global effort to limit global temperature increase to 1.5°C,1,no (partial) costs mentioned,2,Considered,2,Considered,2,Considered,1,Not indicated,2,Considered,2,"Considered: sustainable management of forests, social forestry programme, restoring functions of degraded ecosystems",2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,4,"Baseline quantified, no mitigation quantified",3,REDD+ specified: technical capacity developed or under development; source of finance; land tenure or forest governance addressed,1,International trade/trade measures not mentioned,1,Not mentioned,4,National action plan on GHG emissions reduction; National Energy Policy; National Development Plan; REDD+ Implementation; moratorium on the clearing of primary forests,1,No co-benefits of mitigation mentioned
,,,Iran,IRN,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted
,,,Iraq,IRQ,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted
,,,Israel,ISR,3,Intensity target,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,Considered: produce 17% of the energy from RE sources by 2030,2,Considered,2,Considered,1,Not indicated,2,Considered,1,Not indicated,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",4,Action related to fossil fuel production (Shift to natural gas),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,2,International trade/trade measures mentioned,1,Not mentioned,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Jamaica,JAM,1,Business as usual,5,NDC claims to be consistent with 1.5°C limit,1,no (partial) costs mentioned,2,Considered: increase RE share to 20% by 2030,3,Focus area,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,2,"Considered (CH4, N2O, NOx, CO, NMVOCs, SO2)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,2,Market mechanisms explicitly excluded,4,National Energy Policy; Nationally Appropriate Mitigation Action (NAMA),1,No co-benefits of mitigation mentioned
,,,Japan,JPN,2,Absolute target: 26% GHG emissions reduction compared to 2013 by 2030,4,NDC claims to be consistent with 2°C limit,1,no (partial) costs mentioned,2,Considered: increase RE share to 20% - 24% by 2030,2,Considered (public transport),2,Considered,1,Not indicated,2,Considered,2,"Considered: afforestation, revegetation, sustainable management of forests and land",2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",2,Producer; no mention of fossil fuel production,1,Not indicated,5,"Baseline quantified, mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,1,Not mentioned,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Jordan,JOR,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,4,"5,7 billion US$",2,Considered: increase RE share to 10% in 2020 (Solar power),2,Considered: increase EE by 20% by 2020,2,Considered,1,Not indicated,2,Considered,2,"Considered: afforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NOx, CO, NMVOCs, SO2)",4,Action related to fossil fuel production (Continued production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,"National Climate Change Policy, National Green Growth Plan and Implementation Roadmap",1,No co-benefits of mitigation mentioned
,,,Kazakhstan,KAZ,2,"Absolute target: 15% GHG emissions reduction compared to 1990 by 2030, 25% by 2030 (conditional)",2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,Considered,2,Considered,2,Considered,1,Not indicated,2,Considered,2,"Considered: afforestation, conservation of ecosystem",2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Kenya,KEN,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,"Considered (Solar power, wind power, geothermal)",2,Considered,2,Considered,1,Not indicated,2,Considered: climate-smart agriculture,2,Considered: afforestation,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,National Climate Change Response Strategy; National Climate Change Action Plan; Climate Change Bill,1,No co-benefits of mitigation mentioned
,,,Kiribati,KIR,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,2,"0,00218947 billion US$",3,Focus area,2,Considered,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,3,"No baseline quantified, mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,Kiribati National Energy Policy (KNEP); Majuro Declaration,1,No co-benefits of mitigation mentioned
,,,Kuwait,KWT,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,"Focus area (Solar power, wind power, geothermal)",2,Considered,3,Focus area (Railways),1,Not indicated,2,Considered,1,Not indicated,2,Considered,2,"Considered (CH4, N2O)",5,Contextualises (Background information; Response measures); and action related to fossil fuel production (Cleaner Production),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (regulating imports of electric appliances),1,Not mentioned,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Kyrgyzstan,KGZ,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,3,"1,96 billion US$",2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,National Sustainable Development Strategy of the Kyrgyz Republic for 2013-2017; Program of the Kyrgyz Republic on Transition to Sustainable Development for 2013-2017,1,No co-benefits of mitigation mentioned
,,,Lao Peoples Democratic Republic,LAO,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,3,"1,4 billion US$",3,Focus area: increase RE share to 30% by 2025 (Hydropower),2,Considered,2,Considered,1,Not indicated,2,Considered,2,Considered,2,Considered,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,3,"No baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation; source of finance indicated; land tenure or forest governance addressed,3,International trade/trade measures to foster mitigation (lowering trade barriers; regulating timber trade),3,Use/intention to use market mechanisms,3,National Climate Change Strategy (2010); Renewable Energy Development Strategy (2011); Sustainable Transport Development Strategy (2010); Climate Change Action Plan of Lao PDR for 2013-2020 (2013),4,"Both adaptation and other co-benefits: improvement air quality, human health, development"
,,,Lebanon,LBN,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted
,,,Lesotho,LSO,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,3,"1,2 billion US$",3,Focus area: produce 40MW solar power by 2017/2018; 35 MW wind power by 2017; 125 MW hydropower by 2025,3,Focus area,2,Considered,1,Not indicated,2,Considered,2,Considered: afforestation,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,3,"No baseline quantified, mitigation quantified",2,REDD+ mentioned,2,International trade/trade measures mentioned,5,Market mechanisms to meet part of NDC target,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Liberia,LBR,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,3,"Focus area: increase RE share to 30% by 2030 (Solar power, biomass, hydropower)",3,Focus area (efficient cooking stoves),2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,3,Focus area,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,Climate Change Gender Action Plan; Energy policy,3,Other co-benefits: no examples given
